StationID,StationName,DisplayName,Latitude,Longitude,Elevation,City,ZipCode,TzTimeZone,StateCode,StateDesc,CountryCode,CountryDesc,CountyName
13497,PAHL,PAHL,65.7,-156.35,,,99746,America/Anchorage,,,,,
14111,KECU,KECU,29.95,-100.17,,,78880,America/Chicago,,,,,
15042,PALP,Alpine Airstrip,70.3442,-150.9447,18,Deadhorse,99704,US/Alaska,AK,Alaska,,,
21671,K4O4,NW of Idabel Airport,33.92,-94.87,472,Idabel,74728,US/Central,OK,Oklahoma,US,United States of America,
22269,PAHC,Holy Cross Airport,62.1883,-159.7749,70,Holy Cross,99665,US/Alaska,AK,Alaska,,,
22270,PAOO,Toksook Bay Airport,60.5413,-165.0872,59,Toksook Bay,99690,US/Alaska,AK,Alaska,,,
22271,PAIG,Igiugig Airport,59.324,-155.9017,90,Igiugig,99625,US/Alaska,AK,Alaska,,,
22272,PAMB,Manokotak Airport,58.98,-159.05,0,Manokotak,99628,US/Alaska,AK,Alaska,,,
22273,PACM,PACM,61.85,-165.57,,,99604,America/Anchorage,,,,,
22274,PALG,Kalstag Airport,61.5362,-160.3413,55,Kalstag,99607,US/Alaska,AK,Alaska,,,
22275,PAMO,Mountain Village Airport,62.0953,163.682,335,Mountain Village,,US/Alaska,AK,Alaska,,,
22276,PARS,Russian Mission Airport,61.7748,161.3193,51,Russian Mission,,US/Alaska,AK,Alaska,,,
23971,KHAI,KHAI,41.96,-85.59,,,49093,America/New_York,,,,,
23770,PATQ,PATQ,70.4672,-157.4357,96,Atqasuk,99791,US/Alaska,AK,Alaska,,,
27687,YSRI,RAAF Base Richmond - NW of Schofields ,-33.6006,150.7808,69,Hocksbury,,Australia/Canberra,,,AU,Australia,
64980,SDAY,Fazenda Altair Airport,-20.58,-49.0797,2034,Altair  ,,US/Eastern,,,BR,Brazil,
65136,SAUY,Tardamu Airport,-10.4278,121.8978,46,,,Asia/Krasnoyarsk,,,ID,Indonesia,
65147,VISR,Srinagar Airport,34.0103,74.7681,5485,,,Asia/Kolkata,,,IN,India,
65160,T019,Brewerton Creek,41,174,908,Tasman,,Pacific/Fiji,,,NZ,New Zealand,
65163,VIKO,Kota Airport,29.1653,75.8453,896,Kota - Rajastan,,Asia/Kolkata,,,IN,India,
65174,VIJO,Jodhpur Airport,26.2511,73.0489,919,Jodhpur,,Asia/Kolkata,,,IN,India,
65185,VEBN,Lal Bahadur Shastri Airport,,82.8644,866,Lal Bahadur,,Asia/Kolkata,,,IN,India,
65187,VAAU,Aurangabad Airport,19.8628,,1911,Aurangabad,,Asia/Kolkata,,,IN,India,
65188,VIDD,Safdarjung Airport,28.5844,77.2058,705,Safdarjung ,,Asia/Kolkata,,,IN,India,
65190,VABV,Chhatrapati Shivaji International Airport,19.0886,,37,,,Asia/Kolkata,,,IN,India,
65191,VAPR,Porbandar Airport,21.6486,69.6572,17,,,Asia/Kolkata,,,IN,India,
65192,VOMY,Mysore Airport,12.23,76.6558,2347,Mysore,,Asia/Kolkata,,,IN,India,
65199,VIAG,Agra Airport,27.1575,77.9608,551,,,Asia/Kolkata,,,IN,India,
65219,VARP,VARP,21.1811,81.7385,1041,"Mana, Raipur",,Asia/Kolkata,,,IN,India,
